wavelength spectrum_sum 3smoothed_sum spectrum_optimal 3smoothed_optimal spectrum_snr
3818.74 17605.3 17220.1 15810.4 15449.1 141.614
3821.66 16625.2 16654.9 14873.8 14942.7 137.628
3824.57 15734.1 15589.4 14143.9 13960.6 133.825
3827.49 14408.8 14386.9 12864 12867.1 128.072
3830.4 13017.7 13182.1 11593.6 11809.6 121.686
3833.32 12119.8 12546.5 10971.4 11346.6 117.381
3836.24 12502.1 12680.3 11474.9 11590.9 119.162
3839.15 13418.9 13884.2 12326.5 12690.9 123.572
3842.07 15731.5 15289.6 14271.3 13905.1 133.807
3844.98 16718.3 16643.8 15117.6 15007.9 137.977
3847.9 17481.7 17599.7 15634.8 15839 141.169
3850.81 18599.2 18623.8 16764.7 16716.3 145.597
3853.73 19790.4 19714.8 17749.4 17738 150.177
3856.64 20754.8 20669 18699.8 18634 153.775
3859.56 21461.9 21142.6 19452.8 19085.4 156.409
3862.47 21211.2 21553.7 19103.5 19436.1 155.474
3865.39 21988 21724.6 19752.2 19560.1 158.312
3868.3 21974.5 21684.7 19824.7 19488.4 158.261
3871.22 21091.5 21125.4 18888.3 19039.7 155.055
3874.13 20310.2 20335.3 18406.2 18334.9 152.115
3877.05 19604.4 19428.6 17710.2 17597 149.463
3879.96 18371.4 18129.9 16674.6 16402.4 144.687
3882.88 16413.9 16431.2 14822.4 14888.4 136.664
3885.79 14508.3 15127 13168 13803.2 128.431
3888.71 14458.7 14706.7 13419.2 13534.8 128.232
3891.62 15153.2 15489.9 14017.3 14338.1 131.274
3894.54 16857.8 16604.1 15577.8 15298.7 138.504
3897.45 17801.2 17894.1 16301 16394.1 142.331
3900.37 19023.2 18913.8 17303.6 17250.6 147.207
3903.28 19916.9 20148 18147.3 18322.1 150.605
3906.2 21504 21573.1 19515.5 19629.8 156.516
3909.11 23298.3 22795.4 21226.7 20722.4 162.936
3912.03 23583.9 23599.4 21425.2 21543.3 163.963
3914.94 23916.1 24074.1 21978 22035.7 165.095
3917.86 24722.3 24857.2 22704 22802.1 167.855
3920.77 25933.1 25667.1 23724.5 23485.2 171.931
3923.69 26345.9 25926.4 24027.1 23621.6 173.282
3926.6 25500.2 24945.9 23113.2 22692.6 170.524
3929.52 22991.6 23740.7 20937.3 21693.6 161.839
3932.43 22730.5 23396.4 21030.1 21508.3 160.896
3935.35 24467.2 24147.8 22557.4 22201.5 166.986
3938.26 25245.6 25128.9 23017 23055.3 169.616
3941.18 25673.8 25355.8 23591.5 23249 171.042
3944.09 25148.1 25280.3 23138.4 23250.6 169.28
3947 25018.9 25071 23021.8 23034.8 168.851
3949.92 25046.1 24968.9 22944 22913.8 168.962
3952.83 24841.6 24910.6 22775.5 22895.3 168.236
3955.75 24843.9 24512.4 22966.3 22525.6 168.247
3958.66 23851.6 23515.2 21834.8 21616.8 164.816
3961.58 21850 21587.3 20049.3 19748 157.764
3964.49 19060.2 19053.6 17359.7 17488.7 147.267
3967.41 16250.6 17391.6 15057 16073.9 135.877
3970.32 16864 17318 15804.9 16178.4 138.481
3973.23 18839.5 18672.4 17673.3 17462.1 146.401
3976.15 20313.9 20356.4 18908.1 18971.2 152.009
3979.06 21915.7 21846 20332.1 20278.9 157.904
3981.98 23308.3 23515.8 21596.5 21806.3 162.875
3984.89 25323.4 25090.8 23490.4 23231 169.844
3987.8 26640.8 26530.3 24606 24563.3 174.192
3990.72 27626.8 27430.3 25593.6 25378.1 177.388
3993.63 28023.5 28358.6 25934.6 26226 178.69
3996.55 29425.6 29190.7 27149.6 26993.1 183.126
3999.46 30122.9 30190 27895 27952.1 185.279
4002.37 31021.4 30902.6 28811.5 28717.3 188.027
4005.29 31563.5 31769.3 29445.5 29567.6 189.668
4008.2 32722.9 32524.8 30445.9 30251 193.122
4011.12 33288 33434.7 30861.6 31083.8 194.799
4014.03 34293.2 34163.4 31943.9 31743.4 197.754
4016.94 34909.1 34479.1 32424.6 32015.7 199.505
4019.86 34234.9 34659.8 31678.5 32156.6 197.601
4022.77 34835.6 34994.8 32366.5 32478.3 199.284
4025.69 35914.1 35065.4 33389.8 32602.2 202.373
4028.6 34446.6 34910.8 32050.3 32527.6 198.148
4031.51 34371.7 34840.6 32142.7 32533.5 197.912
4034.43 35703.3 35399 33407.4 33104.1 201.758
4037.34 36122 35710.1 33762.1 33349.5 202.896
4040.25 35305.1 35478.1 32879 33121.2 200.574
4043.17 35007.2 35313.2 32722.4 33004.8 199.751
4046.08 35627.2 35442.9 33413.1 33193.3 201.508
4048.99 35694.4 35562.7 33444.4 33302.5 201.732
4051.91 35366.3 35675.6 33050.2 33394.5 200.737
4054.82 35966 35805.2 33688.9 33519.4 202.511
4057.74 36083.4 35782.2 33819 33534 202.821
4060.65 35297.1 35688.4 33094 33466.1 200.573
4063.56 35684.6 35417.6 33485.3 33247.3 201.692
4066.48 35271.2 35253.3 33162.5 33062.3 200.475
4069.39 34804 34516.5 32539 32333.6 199.157
4072.3 33474.3 33259.8 31299.3 31113.4 195.346
4075.22 31501.2 32146.6 29501.9 30173.9 189.432
4078.13 31464.3 31588 29720.5 29689.5 189.334
4081.04 31798.6 31691.6 29846.1 29865.4 190.318
4083.95 31812 31908.9 30029.6 30046.4 190.359
4086.87 32116.2 31932.2 30263.5 30107.5 191.253
4089.78 31868.4 31399.3 30029.3 29492.1 190.51
4092.69 30213.3 29702.4 28183.6 27812.5 185.453
4095.61 27025.4 27046 25224.7 25238.8 175.338
4098.52 23899.2 24688.3 22308 23163.4 164.868
4101.43 23140.3 23717.3 21957.4 22429.7 162.192
4104.35 24112.3 24417.6 23023.8 23273.2 165.611
4107.26 26000.4 26020.4 24838.5 24861.1 171.969
4110.17 27948.6 27936.3 26721.2 26680.3 178.299
4113.08 29860 29438.6 28481.1 27994.7 184.354
4116 30507.1 30779.3 28782 29171.2 186.361
4118.91 31970.8 31686.6 30250.4 29987.3 190.808
4121.82 32582 32734 30929.6 30985.3 192.619
4124.73 33649.2 33304.1 31775.8 31545 195.751
4127.65 33681.3 33932.2 31929.5 32173.8 195.869
4130.56 34466.3 34729.2 32816.2 33025.5 198.126
4133.47 36040.1 36187.4 34330.7 34476.7 202.568
4136.39 38055.6 37641.6 36283.3 35815.1 208.233
4139.3 38829.1 38349.8 36831.4 36433.8 210.336
4142.21 38164.8 38763.2 36186.7 36856.9 208.516
4145.12 39295.8 39199.7 37552.4 37289.6 211.591
4148.04 40138.5 39625.1 38129.6 37692.1 213.887
4150.95 39441.1 39829.4 37394.4 37839.2 211.969
4153.86 39908.6 40152.7 37993.5 38255.6 213.244
4156.77 41108.4 40738.1 39378.9 38904 216.422
4159.68 41197.4 41422.9 39339.7 39604.8 216.673
