wavelength spectrum_sum 3smoothed_sum spectrum_optimal 3smoothed_optimal spectrum_snr
3822.96 128.776 123.354 135.696 129.273 9.52986
3825.87 115.717 119.237 119.758 120.364 8.79467
3828.79 113.218 119.733 105.64 123.237 8.44999
3831.7 130.264 124.781 144.313 124.54 9.31111
3834.61 130.86 133.36 123.668 134.015 9.50574
3837.52 138.957 148.172 134.065 145.533 9.67671
3840.44 174.698 152.681 178.866 157.597 11.1431
3843.35 144.389 150.787 159.859 167.372 9.8641
3846.26 133.275 130.263 163.392 147.89 9.41866
3849.17 113.125 135.498 120.419 143.801 8.31873
3852.08 160.093 135.744 147.594 129.946 10.8124
3855 134.013 142.547 121.825 138.741 9.76175
3857.91 133.535 132.765 146.804 133.218 9.31208
3860.82 130.747 136.509 131.024 140.344 9.40439
3863.73 145.244 137.214 143.204 137.603 10.1829
3866.64 135.651 139.556 138.58 145.485 9.96079
3869.56 137.774 136.662 154.671 142.471 9.7298
3872.47 136.562 134.144 134.163 145.406 10.0262
3875.38 128.095 132.82 147.385 134.597 9.18065
3878.29 133.802 127.091 122.242 133.26 9.84929
3881.2 119.377 133.224 130.153 130.457 9.44282
3884.12 146.493 146.847 138.976 146.571 10.7182
3887.03 174.671 147.542 170.584 141.176 12.0118
3889.94 121.463 141.894 113.968 135.952 9.43256
3892.85 129.547 129.612 123.305 116.723 9.95455
3895.76 137.826 136.189 112.896 125.732 9.56024
3898.68 141.195 131.769 140.995 120.479 9.67446
3901.59 116.287 135.277 107.546 130.965 8.00885
3904.5 148.349 138.475 144.354 133.71 9.20967
3907.41 150.79 164.918 149.229 168.335 9.35611
3910.32 195.616 163.778 211.422 177.066 11.0093
3913.24 144.928 188.327 170.546 207.11 8.85046
3916.15 224.437 187.43 239.363 210.077 12.3253
3919.06 192.925 203.255 220.321 219.697 11.0778
3921.97 192.403 187.274 199.405 206.925 11.548
3924.88 176.495 177.237 201.049 184.477 11.128
3927.8 162.813 169.867 152.976 177.479 10.8424
3930.71 170.293 162.025 178.413 165.98 11.3573
3933.62 152.968 163.182 166.552 163.97 10.2722
3936.53 166.285 164.358 146.946 161.667 10.7837
3939.44 173.82 159.46 171.502 152.714 11.1639
3942.35 138.275 155.126 139.694 153.552 9.44916
