wavelength spectrum_sum 3smoothed_sum spectrum_optimal 3smoothed_optimal
3897.87 148.008 131.411 141.109 120.526
3900.78 119.819 142.024 107.571 131.039
3903.7 158.244 145.968 144.439 133.753
3906.61 159.842 180.648 149.251 168.37
3909.53 223.86 183.956 211.421 177.084
3912.44 168.166 214.37 170.582 207.124
3915.36 251.084 215.787 239.37 210.093
3918.27 228.111 230.613 220.328 219.717
3921.19 212.644 212.918 199.453 206.953
3924.1 198 190.877 201.077 184.51
3927.02 161.986 179.286 153 177.482
3929.93 177.871 169.53 178.368 165.967
3932.85 168.733 169.214 166.532 163.968
3935.76 161.038 167.217 147.005 161.666
3938.68 171.88 157.607 171.461 152.709
3941.59 139.902 160.913 139.663 153.552
3944.51 170.957 165.57 149.533 157.463
3947.42 185.849 188.363 183.192 179.804
3950.33 208.284 204.988 206.685 204.845
3953.25 220.832 201.013 224.659 198.785
3956.16 173.925 190.325 165.012 190.897
3959.08 176.219 183.562 183.019 183.477
3961.99 200.541 192.05 202.4 184.713
3964.91 199.389 190.033 168.719 184.758
3967.82 170.17 197.072 183.156 188.839
3970.74 221.657 190.1 214.64 197.69
3973.65 178.473 199.891 195.275 203.818
3976.56 199.542 192.383 201.538 201.513
3979.48 199.134 190.827 207.725 193.488
3982.39 173.804 184.127 171.2 182.389
3985.31 179.442 167.911 168.241 162.693
3988.22 150.487 166.914 148.639 159.624
3991.14 170.812 169.215 161.992 165.94
3994.05 186.346 185.496 187.189 181.37
3996.96 199.329 192.262 194.929 186.811
3999.88 191.112 194.129 178.315 188.098
4002.79 191.948 203.688 191.049 189.803
4005.71 228.004 204.461 200.046 192.283
4008.62 193.431 222.859 185.754 206.99
4011.53 247.141 222.881 235.169 220.496
4014.45 228.072 228.098 240.564 222.109
4017.36 209.082 215.385 190.593 211.065
4020.28 209.002 213.034 202.037 198.034
4023.19 221.019 195.022 201.472 186.196
4026.1 155.046 178.942 155.077 174.894
4029.02 160.761 176.43 168.132 167.504
4031.93 213.484 181.987 179.302 181.537
4034.85 171.718 208.918 197.176 209.677
4037.76 241.552 207.612 252.554 216.251
4040.67 209.567 243.92 199.025 240.422
4043.59 280.639 243.98 269.686 233.527
4046.5 241.734 260.858 231.87 252.607
4049.41 260.201 257.513 256.265 254.765
4052.33 270.604 283.182 276.16 281.215
4055.24 318.74 291.071 311.219 281.784
4058.16 283.869 291.398 257.972 284.116
4061.07 271.585 278.863 283.157 269.524
4063.98 281.134 276.825 267.442 277.94
4066.9 277.757 282.35 283.219 277.896
4069.81 288.158 293.165 283.027 287.921
4072.72 313.58 308.785 297.518 305.546
4075.64 324.618 312.181 336.093 308.344
4078.55 298.346 318.185 291.42 319.127
4081.46 331.591 320.679 329.868 318.569
4084.38 332.099 337.651 334.418 339.691
4087.29 349.263 339.638 354.786 332.672
4090.2 337.551 340.276 308.811 325.898
4093.12 334.016 335.733 314.097 317.262
4096.03 335.633 336.589 328.879 325.932
4098.94 340.117 320.281 334.819 314.017
4101.86 285.094 329.296 278.354 323.696
4104.77 362.678 324.29 357.916 313.888
4107.68 325.097 348.189 305.394 333.489
4110.59 356.792 348.289 337.158 332.303
4113.51 362.979 346.737 354.356 335.348
4116.42 320.44 346.573 314.53 331.883
4119.33 356.299 317.38 326.762 304.31
4122.25 275.402 324.265 271.639 316.184
4125.16 341.095 306.556 350.152 305.996
4128.07 303.173 344.645 296.197 334.621
4130.98 389.669 329.551 357.513 308.952
4133.9 295.813 348.177 273.145 335.236
4136.81 359.048 338.341 375.049 344.312
4139.72 360.16 348.816 384.742 363.341
4142.63 327.238 354.646 330.231 361.336
4145.55 376.541 354.124 369.036 346.64
4148.46 358.592 356.943 340.654 350.568
4151.37 335.697 346.324 342.015 339.327
4154.28 344.683 348.368 335.311 350.547
4157.2 364.723 343.578 374.315 337.83
4160.11 321.329 349.462 303.864 350.504
4163.02 362.335 332.536 373.333 331.559
4165.93 313.944 344.978 317.481 350.645
4168.85 358.656 342.451 361.121 346.229
4171.76 354.752 354.761 360.083 361.436
4174.67 350.875 364.282 363.104 362.635
4177.58 387.218 373.738 364.719 368.555
4180.5 383.121 384.017 377.843 374.242
4183.41 381.713 378.689 380.164 372.27
4186.32 371.233 377.053 358.803 367.637
4189.23 378.214 386.266 363.943 370.233
4192.14 409.35 388.468 387.951 381.755
4195.06 377.841 378.563 393.37 375.891
4197.97 348.499 372.42 346.35 371.57
4200.88 390.919 379.202 374.989 372.979
4203.79 398.19 396.286 397.597 399.065
4206.7 399.748 391.313 424.61 398.038
4209.61 376.001 388.025 371.908 395.656
4212.53 388.326 399.299 390.451 399.924
4215.44 433.57 406.505 437.413 401.802
4218.35 397.619 415.101 377.543 410.661
4221.26 414.115 414.678 417.028 409.351
4224.17 432.301 411.505 433.481 405.58
4227.08 388.099 406.394 366.231 395.526
4230 398.781 389.729 386.867 382.914
4232.91 382.308 401.003 395.646 398.683
4235.82 421.921 401.279 413.538 405.216
4238.73 399.607 420.295 406.464 423.215
4241.64 439.357 428.731 449.643 427.791
4244.55 447.23 434.135 427.267 431.108
4247.46 415.817 432.724 416.415 426.814
4250.38 435.125 419.08 436.759 416.769
4253.29 406.298 424.023 397.132 419.57
4256.2 430.648 413.364 424.817 407.265
4259.11 403.147 410.347 399.846 406.924
4262.02 397.248 394.682 396.108 399.168
4264.93 383.651 410.391 401.549 419.541
4267.84 450.275 412.243 460.965 420.697
4270.75 402.804 410.133 399.576 415.888
4273.66 377.321 403.104 387.124 407.876
4276.57 429.187 403.314 436.928 408.072
4279.49 403.433 404.64 400.164 403.429
4282.4 381.3 423.314 373.196 422.623
4285.31 485.21 446.345 494.508 447.945
4288.22 472.526 482.53 476.132 482.044
4291.13 489.855 462.487 475.491 465.889
4294.04 425.08 453.245 446.044 453.292
4296.95 444.801 429.272 438.339 440.822
4299.86 417.935 447.306 438.082 458.211
4302.77 479.181 448.219 498.213 463.199
4305.68 447.541 467.117 453.301 472.868
4308.59 474.631 456.12 467.089 458.466
4311.5 446.188 475.137 455.007 479.593
4314.41 504.59 473.823 516.683 479.755
4317.32 470.691 478.509 467.576 485.162
4320.23 460.247 470.707 471.226 465.114
4323.14 481.183 484.285 456.54 481.425
4326.05 511.426 480.053 516.511 473.322
4328.96 447.55 480.811 446.915 493.745
4331.87 483.456 484.643 517.807 488.695
4334.78 522.922 506.098 501.361 502.664
4337.69 511.916 499.071 488.824 484.118
4340.6 462.374 479.338 462.171 467.233
4343.51 463.724 457.686 450.704 454.78
4346.42 446.959 454.127 451.466 449.623
4349.33 451.698 456.849 446.7 453.168
4352.24 471.89 472.737 461.336 469.366
4355.15 494.622 491.376 500.062 495.096
4358.06 507.615 478.886 523.889 489.782
4360.97 434.421 462.761 445.395 476.351
4363.88 446.245 439.699 459.768 448.898
4366.79 438.431 448.852 441.53 459.323
4369.7 461.88 442.672 476.672 451.41
4372.61 427.705 448.356 436.028 453.408
4375.52 455.482 445.221 447.525 446.587
4378.43 452.475 483.145 456.208 481.97
4381.34 541.478 503.984 542.177 508.17
4384.25 517.998 515.506 526.127 523.665
4387.15 487.041 503.217 502.692 509.081
4390.06 504.612 500.933 498.425 511.918
4392.97 511.147 515.031 534.636 523.067
4395.88 529.333 518.049 536.14 521.812
4398.79 513.668 508.946 494.661 510.363
4401.7 483.837 501.325 500.289 504.447
4404.61 506.471 502.93 518.39 521.041
4407.52 518.482 528.653 544.444 537.763
4410.43 561.008 532.319 550.455 540.333
4413.34 517.469 510.264 526.099 510.953
4416.24 452.316 502.632 456.306 512.64
4419.15 538.111 511.291 555.516 523.771
4422.06 543.447 557.215 559.492 575.514
4424.97 590.087 564.454 611.535 573.778
4427.88 559.827 572.771 550.307 574.039
4430.79 568.399 566.017 560.276 571.478
4433.7 569.826 557.988 603.852 568.675
4436.6 535.738 571.075 541.898 586.184
4439.51 607.66 580.016 612.802 579.96
4442.42 596.649 592.683 585.181 590.513
4445.33 573.74 562.044 573.557 554.698
4448.24 515.742 528.253 505.356 529.694
4451.14 495.277 522.812 510.169 525.825
4454.05 557.418 548.507 561.95 559.795
4456.96 592.827 574.302 607.268 581.77
4459.87 572.66 577.334 576.093 589.592
4462.78 566.515 591.595 585.415 596.4
4465.68 635.61 563.205 627.692 564.927
4468.59 487.491 567.783 481.674 562.785
4471.5 580.249 543.038 578.99 540.986
4474.41 561.375 590.356 562.294 592.473
4477.32 629.444 596.739 636.134 607.382
4480.22 599.399 622.759 623.718 638.408
4483.13 639.434 599.746 655.371 614.847
4486.04 560.405 595.419 565.453 608.115
4488.95 586.418 571.134 603.521 585.68
4491.85 566.58 590.114 588.067 600.142
4494.76 617.343 581.982 608.836 583.7
4497.67 562.022 610.345 554.196 607.613
4500.58 651.671 592.931 659.806 596.279
4503.48 565.099 631.062 574.835 643.098
4506.39 676.415 603.872 694.653 623.495
4509.3 570.1 618.462 600.999 648.738
4512.2 608.872 616.461 650.563 644.836
4515.11 670.411 640.032 682.947 666.935
4518.02 640.814 664.331 667.295 685.563
4520.92 681.768 648.395 706.448 670.225
4523.83 622.604 650.973 636.932 676.537
