wavelength spec_sum spec_optimal
4042.85 30.3119 -171.712
4045.77 17.7001 283.085
4048.69 24.4766 -168.259
4051.6 40.7286 -99.7245
4054.52 25.8357 60.3264
4057.44 29.6815 -138.471
4060.36 7.8385 28.5068
4063.28 17.5112 99.4098
4066.2 20.9265 -200.084
4069.11 18.8159 51.7363
4072.03 26.9148 6.40778
4074.95 -0.392405 -77.2726
4077.87 35.3478 164.88
4080.79 16.4688 -59.0802
4083.7 34.1876 -109.96
4086.62 -8.47552 -128.914
4089.54 12.0973 260.582
4092.46 -2.91672 -273.818
4095.38 18.5149 -37.4349
4098.29 25.253 237.803
4101.21 29.071 -343.291
4104.13 4.53983 -42.4486
4107.05 10.9853 265.514
4109.96 5.76615 11.9008
4112.88 19.5574 -17.4466
4115.8 57.0833 127.705
4118.72 31.9383 -175.041
4121.63 23.9762 1.69361
4124.55 18.1735 34.5422
4127.47 24.8676 66.1032
4130.38 54.1925 38.7307
4133.3 23.5904 125.423
4136.22 41.1858 222.644
4139.14 59.7065 2.52348
4142.05 33.5699 112.894
4144.97 20.1661 -237.806
4147.89 49.6109 165.447
4150.8 41.3302 -41.3403
4153.72 21.044 -231.603
4156.64 35.1818 71.445
4159.55 39.9003 -109.574
4162.47 31.7821 -238.738
4165.39 41.3179 465.689
4168.3 31.3219 -75.9016
4171.22 38.5594 -37.8965
4174.13 31.6451 -143.864
4177.05 33.1313 -160.766
4179.97 9.51316 285.11
4182.88 34.5176 46.2137
4185.8 37.2256 131.016
4188.71 18.019 -109.11
4191.63 26.6499 -20.6389
4194.55 44.0623 -18.6455
4197.46 35.1571 -187.81
4200.38 41.6785 -55.4109
4203.29 25.9582 107.131
4206.21 48.0263 -17.1599
4209.12 36.2917 -93.7093
4212.04 43.8386 251.965
4214.96 22.5718 -72.4662
4217.87 29.4374 -317.948
4220.79 7.08489 84.4084
4223.7 20.5148 326.86
4226.62 36.046 -427.796
4229.53 26.3092 -138.144
4232.45 33.9002 44.027
4235.36 -1.17313 -16.9563
4238.28 24.987 -123.103
4241.19 14.3948 -111.914
4244.11 31.4235 28.382
4247.02 21.8965 288.196
4249.94 30.6103 -61.5444
4252.85 42.3987 68.9792
4255.76 46.0852 -10.5274
4258.68 14.4867 -62.9077
4261.59 16.9944 1.36436
4264.51 -0.699474 -103.258
4267.42 57.7479 -35.3369
4270.34 28.4692 -1.74999
4273.25 55.1096 78.3167
4276.16 22.0285 -252.352
4279.08 28.0466 53.145
4281.99 20.0097 -72.7568
4284.91 27.3184 75.9247
4287.82 27.8352 130.502
4290.73 31.2478 -234.948
4293.65 33.6762 204.688
4296.56 17.6452 -143.729
4299.48 1.5015 -112.02
4302.39 9.93228 -38.416
4305.3 8.18909 -64.5656
4308.22 25.8239 187.18
4311.13 11.3466 -95.8158
4314.04 -2.73597 54.3607
4316.96 9.65001 -337.914
4319.87 11.3522 272.467
4322.78 3.8723 -114.122
4325.7 -6.03907 -60.119
4328.61 9.63452 68.4693
4331.52 13.6287 -82.7017
4334.43 3.44888 -90.3565
4337.35 -1.7424 -108.965
4340.26 0.207407 129.459
4343.17 17.9194 -148.801
4346.09 7.79305 -77.2003
4349 6.66746 13.9808
4351.91 8.91187 -346.994
4354.82 22.0235 -25.8657
4357.74 25.3392 -5.96369
4360.65 18.1569 -14.4942
4363.56 5.49753 64.8433
4366.47 28.3242 -3.04279
4369.38 27.1526 56.3519
4372.3 38.1683 -122.627
4375.21 28.8036 37.825
4378.12 20.6029 -23.7216
4381.03 22.6979 -38.7695
4383.94 23.149 -61.1958
4386.86 21.7879 -56.1043
4389.77 43.7436 159.176
4392.68 30.472 -202.102
4395.59 46.8353 203.816
4398.5 26.8303 -283.965
4401.41 33.2482 80.8005
4404.33 13.7712 -7.63211
4407.24 23.4203 190.999
4410.15 17.7628 -219.302
4413.06 31.7943 -122.921
4415.97 24.6862 167.512
4418.88 36.364 98.2565
4421.79 17.0981 67.1803
4424.7 46.5077 3.01113
4427.61 27.4103 -139.62
4430.52 17.9635 -17.7778
4433.44 13.96 -19.2705
4436.35 21.79 157.141
4439.26 33.1027 -79.0276
4442.17 10.4274 286.839
4445.08 28.7762 2.11929
4447.99 21.5858 -31.0839
4450.9 18.064 -157.092
4453.81 42.2626 -39.2742
4456.72 22.1344 291.424
4459.63 41.3194 -36.3763
4462.54 26.693 -120.239
4465.45 31.7662 374.136
4468.36 12.6565 -296.959
4471.27 17.3512 40.5618
4474.18 14.8612 19.5794
4477.09 29.0863 82.5568
4480 39.6059 29.5377
4482.91 14.531 5.82487
4485.82 32.9174 214.336
4488.73 24.2073 -338.663
4491.64 26.5377 11.6701
4494.55 35.2462 246.436
4497.46 19.9177 -385.01
4500.36 22.6839 451.295
4503.27 19.7011 -131.205
4506.18 37.9184 -91.2234
4509.09 35.7306 -316.237
4512 31.9947 314.568
4514.91 14.534 -30.7932
4517.82 36.3224 32.3934
4520.73 35.1152 -34.595
4523.64 6.39352 -101.915
4526.54 18.347 25.2049
4529.45 25.5259 230.309
4532.36 47.1174 -295.471
4535.27 23.6327 175.503
4538.18 25.2282 -74.4144
4541.09 25.097 112.447
4543.99 41.6834 -139.074
4546.9 28.6005 185.762
4549.81 16.0554 17.1831
4552.72 2.02865 -132.571
4555.63 18.7684 266.191
4558.53 11.3525 -226.488
4561.44 37.9694 66.0713
4564.35 18.3931 -13.7267
4567.26 15.7066 9.71856
4570.17 14.7301 -42.3114
4573.07 30.715 116.731
4575.98 36.3052 -40.9742
