wavelength spectrum_sum 3smoothed_sum spectrum_optimal 3smoothed_optimal
3774.1 -320.663 -72.2661 -486.726 -637.788
3777.02 7.64936 -101.864 -795.516 -911.244
3779.95 7.42265 85.3172 -1451.49 -1038.86
3782.87 240.879 87.2788 -869.585 -912.627
3785.79 13.5344 112.977 -416.804 -626.514
3788.72 84.5183 53.563 -593.154 -473.783
3791.64 62.6363 82.5285 -411.392 -506.877
3794.56 100.431 62.8379 -516.086 -311.211
3797.49 25.4465 4.9329 -6.15654 37.8716
3800.41 -111.079 -127.904 635.857 508.972
3803.33 -298.079 -247.663 897.216 951.012
3806.26 -333.832 -213.801 1319.96 1150.44
3809.18 -9.49208 -72.7849 1234.15 1170.33
3812.1 124.969 86.9092 956.882 733.056
3815.03 145.25 186.574 8.13735 243.393
3817.95 289.503 291.69 -234.84 -142.623
3820.87 440.317 279.404 -201.167 -293.338
3823.79 108.391 243.005 -444.007 -128.746
3826.72 180.308 138.685 258.935 -72.3983
3829.64 127.357 81.1567 -32.1235 172.904
3832.56 -64.195 90.5749 291.9 63.3147
3835.48 208.562 68.4005 -69.832 32.9429
3838.41 60.8342 148.783 -123.239 -7.56033
3841.33 176.954 99.55 170.39 123.983
3844.25 60.8619 35.5282 324.799 108.35
3847.17 -131.231 -32.7468 -170.139 -75.4886
3850.1 -27.871 -98.4986 -381.126 -119.913
3853.02 -136.394 46.4827 191.527 9.13327
3855.94 303.713 81.6967 216.999 89.183
3858.86 77.7711 172.79 -140.977 -210.605
3861.78 136.885 165.908 -707.837 -365.973
3864.71 283.068 151.381 -249.105 -460.637
3867.63 34.1891 42.2359 -424.968 -174.324
3870.55 -190.549 12.0495 151.099 -198.854
3873.47 192.508 5.35735 -322.694 -407.435
3876.39 14.1128 3.40599 -1050.71 -688.042
3879.31 -196.403 -86.2534 -690.72 -728.657
3882.24 -76.4697 -84.2593 -444.539 -400.875
3885.16 20.095 -9.69494 -67.3649 -274.263
3888.08 27.2899 6.23884 -310.885 -160.795
3891 -28.6684 55.273 -104.134 -165.305
3893.92 167.198 114.516 -80.8979 -34.0264
3896.84 205.019 116.834 82.9526 -124.696
3899.77 -21.7139 104.651 -376.143 -583.093
3902.69 130.647 38.0783 -1456.09 -605.131
3905.61 5.30199 47.4371 16.8364 -582.457
3908.53 6.36255 16.3033 -308.121 -252.998
3911.45 37.2453 -16.6884 -467.709 -333.509
3914.37 -93.6731 -77.1963 -224.697 -35.0162
3917.29 -175.161 -63.373 587.358 126.197
3920.21 78.7151 -41.3674 15.9293 497.836
3923.13 -27.6562 51.5097 890.22 378.014
3926.06 103.47 91.3124 227.892 425.018
3928.98 198.123 144.582 156.941 -61.7248
3931.9 132.153 -1.51951 -570.007 120.802
3934.82 -334.835 -100.796 775.472 243.345
3937.74 -99.7075 -209.745 524.57 233.186
3940.66 -194.694 -76.6531 -600.485 -82.7338
3943.58 64.442 98.1469 -172.286 -254.797
3946.5 424.692 144.488 8.37918 -76.9396
3949.42 -55.6716 71.4337 -66.9118 -163.646
3952.34 -154.72 -92.2464 -432.406 -158.499
3955.26 -66.348 -36.2644 23.821 -82.5673
3958.18 112.274 -4.61513 160.883 257.705
3961.1 -59.7718 89.2905 588.41 150.957
3964.02 215.369 59.1883 -296.424 -43.7621
3966.94 21.9678 50.4453 -423.273 -240.615
3969.86 -86.0008 -16.527 -2.14831 -317.095
3972.78 14.4519 121.442 -525.865 -282.498
3975.7 435.874 216.539 -319.479 -268.244
3978.62 199.29 314.697 40.6122 -199.698
3981.54 308.927 160.431 -320.226 -519.438
3984.46 -26.9249 188.051 -1278.7 -784.736
3987.38 282.15 121.919 -755.282 -667.238
3990.3 110.533 262.028 32.2685 -310.079
3993.22 393.403 151.746 -207.222 -245.792
3996.14 -48.6983 230.748 -562.421 -1006.1
3999.06 347.54 100.899 -2248.65 -1345.62
4001.98 3.85486 111.731 -1225.78 -1174.42
4004.9 -16.2021 100.344 -48.8128 -862.949
4007.82 313.38 125.725 -1314.25 -661.12
4010.74 79.9963 163.663 -620.292 -925.208
4013.66 97.6134 74.9117 -841.079 -1053.32
4016.58 47.1253 -24.0005 -1698.6 -837.482
4019.5 -216.74 -141.534 27.233 -550.947
4022.42 -254.988 -39.1769 18.5249 -52.1601
4025.33 354.197 5.5882 -202.238 -491.123
4028.25 -82.4448 29.9193 -1289.66 -537.096
4031.17 -181.995 -123.916 -119.394 -565.824
4034.09 -107.31 -19.1559 -288.421 3.94668
4037.01 231.837 23.2777 419.655 31.3416
4039.93 -54.6936 178.01 -37.2095 -79.7872
4042.85 356.888 36.4155 -621.807 -103.205
4045.77 -192.948 186.244 349.403 -519.965
4048.69 394.792 188.062 -1287.49 -685.04
4051.6 362.343 353.012 -1117.03 -920.678
4054.52 301.902 271.003 -357.511 -652.911
4057.44 148.764 100.114 -484.188 -221.565
4060.36 -150.324 -75.2294 177.003 -27.7329
4063.28 -224.129 -82.423 223.987 -60.5672
4066.2 127.183 2.22218 -582.691 -118.051
