wavelength spectrum_sum 3smoothed_sum spectrum_optimal 3smoothed_optimal
3403.33 24.4338 15.6078 -931.268 -490.485
3406.25 22.3896 -9.66292 -540.187 -599.906
3409.17 -75.8121 -11.0473 -328.261 -120.41
3412.09 20.2806 2.0171 507.217 103.384
3415.01 61.5828 23.433 131.196 193.745
3417.93 -11.5644 6.95758 -57.1781 45.6662
3420.85 -29.1457 6.35153 62.9805 -66.6536
3423.77 59.7646 -9.95767 -205.763 -53.1134
3426.69 -60.492 -10.823 -16.5573 -35.7396
3429.61 -31.7416 -18.9376 115.102 39.0739
3432.53 35.4209 14.9899 18.6771 -133.304
3435.45 41.2904 2.86569 -533.692 -230.018
3438.37 -68.1141 0.937176 -175.038 -209.406
3441.28 29.6353 13.3075 80.5126 -276.133
3444.2 78.4013 29.6646 -733.873 -327.738
3447.12 -19.0426 25.526 -329.853 -224.323
3450.04 17.2193 -3.24861 390.757 92.7345
3452.96 -7.9225 31.3866 217.3 312.124
3455.88 84.8631 28.8583 328.315 133.581
3458.8 9.6343 25.6147 -144.873 141.638
3461.72 -17.6534 -13.1691 241.473 64.1021
3464.64 -31.4881 -16.5949 95.7062 119.45
3467.56 -0.643096 -21.0995 21.1696 258
3470.48 -31.1673 -3.38738 657.125 359.802
3473.4 21.6482 -10.5673 401.112 447.288
3476.32 -22.1829 -34.3785 283.628 359.086
3479.24 -102.601 -46.6665 392.518 208.786
3482.16 -15.2158 -36.3191 -49.7879 273.93
3485.08 8.85922 -4.37724 479.06 331.779
3488 -6.77516 -11.9131 566.065 346.573
3490.92 -37.8232 -26.7848 -5.40724 418.575
3493.84 -35.756 -51.0578 695.068 362.23
3496.76 -79.5943 -54.252 397.029 489.368
3499.68 -47.4059 -57.4044 376.007 536.076
3502.6 -45.2131 -35.5228 835.193 441.494
3505.52 -13.9494 -22.7937 113.281 409.867
3508.44 -9.21864 -19.1214 281.128 463.033
3511.36 -34.1963 -19.8001 994.691 705.907
3514.28 -15.9854 5.42782 841.902 601.683
3517.2 66.4651 35.7185 -31.5423 289.209
3520.12 56.6759 65.0521 57.2688 -1.13066
3523.03 72.0152 55.6041 -29.1186 123.904
3525.95 38.1211 37.4636 343.563 237.381
3528.87 2.25437 33.4828 397.698 641.063
3531.79 60.073 35.3593 1181.93 961.715
3534.71 43.7504 76.2468 1305.52 912.86
3537.63 124.917 86.5931 251.131 954.218
3540.55 91.1118 75.0359 1306 1092.32
3543.47 9.07897 40.9213 1719.84 1385.7
3546.39 22.5732 2.3064 1131.27 1323.16
3549.31 -24.733 -17.2668 1118.36 1338.39
3552.23 -49.6406 -49.9165 1765.53 1510.97
3555.15 -75.3759 -67.0218 1649.03 1279.83
3558.07 -76.0489 -54.1694 424.925 785.759
3560.99 -11.0835 -49.0202 283.324 433.068
3563.91 -59.9283 -44.9438 590.955 546.561
3566.83 -63.8197 -43.1583 765.402 330.273
3569.75 -5.72697 -21.8046 -365.54 -198.405
3572.67 4.13302 2.21522 -995.076 -480.519
3575.58 8.23962 19.0096 -80.9397 -420.28
3578.5 44.6561 9.84428 -184.824 -277.713
3581.42 -23.3629 4.07438 -567.374 -471.236
3584.34 -9.07008 -6.52554 -661.509 -665.663
3587.26 12.8564 -17.392 -768.108 -755.953
3590.18 -55.9623 -7.68546 -838.242 -729.231
3593.1 20.0495 -4.00948 -581.344 -412.181
3596.02 23.8843 13.9226 183.042 -66.8578
3598.94 -2.16605 15.474 197.728 314.813
3601.86 24.7036 -7.24149 563.669 154.066
3604.78 -44.262 -6.25672 -299.2 -39.6117
3607.7 0.788283 1.96318 -383.304 -327.051
3610.62 49.3633 26.6028 -298.649 -521.649
3613.54 29.6568 13.782 -882.992 -736.869
3616.45 -37.6741 10.4884 -1028.97 -915.954
3619.37 39.4825 -17.3567 -835.902 -694.384
3622.29 -53.8784 -3.64366 -218.284 -522.488
3625.21 3.46495 -30.0615 -513.277 -445.504
3628.13 -39.771 -10.2016 -604.951 -319.178
3631.05 5.70132 29.9298 160.692 -13.5596
3633.97 123.859 68.1378 403.58 -186.325
3636.89 74.8532 73.9212 -1123.25 -758.373
3639.81 23.0514 32.0282 -1555.45 -1236.72
3642.73 -1.81991 19.9501 -1031.45 -1311.12
3645.65 38.6187 -16.238 -1346.47 -1245.85
3648.56 -85.5128 11.9505 -1359.64 -1225.52
3651.48 82.7457 -18.7839 -970.441 -1090.8
3654.4 -53.5847 -17.6939 -942.326 -1025.65
3657.32 -82.2428 -0.413326 -1164.2 -1279.2
