wavelength spec_sum spec_optimal
3423.77 52.6468 -181.257
3426.69 -52.4739 -14.3627
3429.61 -27.1577 98.4797
3432.53 29.9336 15.7837
3435.45 34.5083 -446.031
3438.37 -56.358 -144.827
3441.28 24.2988 66.0145
3444.2 63.7496 -596.726
3447.12 -15.365 -266.151
3450.04 13.7941 313.028
3452.96 -6.30327 172.888
3455.88 67.0738 259.492
3458.8 7.56542 -113.763
3461.72 -13.7726 188.39
3464.64 -24.4037 74.1735
3467.56 -0.494995 16.2944
3470.48 -23.817 502.153
3473.4 16.4162 304.17
3476.32 -16.6837 213.316
3479.24 -76.4917 292.632
3482.16 -11.2393 -36.7762
3485.08 6.48095 350.456
3488 -4.9069 409.972
3490.92 -27.1119 -3.87595
3493.84 -25.3607 492.991
3496.76 -55.8498 278.587
3499.68 -32.9034 260.978
3502.6 -31.0387 573.359
3505.52 -9.47133 76.9153
3508.44 -6.19073 188.79
3511.36 -22.7142 660.702
3514.28 -10.5033 553.176
3517.2 43.2055 -20.504
3520.12 36.4555 36.8369
3523.03 45.8475 -18.538
3525.95 24.0257 216.529
3528.87 1.40694 248.201
3531.79 37.1371 730.669
3534.71 26.8003 799.725
3537.63 75.8527 152.493
3540.55 54.8647 786.433
3543.47 5.42393 1027.46
3546.39 13.3854 670.819
3549.31 -14.5643 658.559
3552.23 -29.0419 1032.91
3555.15 -43.8303 958.894
3558.07 -43.9688 245.677
3560.99 -6.3734 162.921
3563.91 -34.2832 338.068
3566.83 -36.3287 435.697
3569.75 -3.24442 -207.084
3572.67 2.33049 -561.095
3575.58 4.6248 -45.4305
3578.5 24.9504 -103.265
3581.42 -12.9935 -315.551
3584.34 -5.02098 -366.196
3587.26 7.08323 -423.189
3590.18 -30.6817 -459.572
3593.1 10.9366 -317.111
3596.02 12.9595 99.3174
3598.94 -1.16877 106.691
3601.86 13.2518 302.37
3604.78 -23.5969 -159.509
3607.7 0.4175 -203.01
3610.62 25.963 -157.077
3613.54 15.4833 -460.994
3616.45 -19.5155 -533.014
3619.37 20.2821 -429.402
3622.29 -27.4329 -111.142
3625.21 1.74777 -258.904
3628.13 -19.8648 -302.161
3631.05 2.81864 79.4435
3633.97 60.586 197.412
3636.89 36.2148 -543.441
3639.81 11.0273 -744.097
3642.73 -0.860605 -487.755
3645.65 18.048 -629.257
3648.56 -39.4885 -627.861
3651.48 37.7487 -442.716
3654.4 -24.1465 -424.633
3657.32 -36.6033 -518.143
3660.24 59.1566 -760.872
3663.16 5.07572 -802.845
3666.08 43.1582 -530.464
3669 -5.43909 -643.401
3671.92 -6.11505 -637.894
3674.84 -2.08712 -237.04
3677.75 15.7258 -274.731
3680.67 0.730542 -350.546
3683.59 39.6083 -170.794
3686.51 23.7827 248.766
3689.43 -3.44662 427.452
3692.35 19.1392 240.027
3695.27 48.7103 -121.796
3698.19 -15.2014 -333.213
3701.11 8.87866 -626.932
3704.02 32.2328 -509.532
3706.94 -0.41302 -237.136
3709.86 42.0966 99.2941
3712.78 49.9267 148.15
3715.7 5.06171 -7.49969
3718.62 41.2065 60.5843
3721.54 14.8194 -72.7917
3724.45 34.5107 -325.172
3727.37 -25.4924 -375.092
3730.29 35.6015 -119.082
3733.21 19.7558 -224.181
3736.13 54.0079 -358.51
3739.05 57.8582 -444.384
3741.97 52.8978 -565.397
3744.88 28.8654 -533.29
3747.8 44.7592 -526.955
3750.72 58.0942 -126.391
3753.64 40.8708 93.8028
3756.56 22.0342 -71.4492
3759.48 45.3215 -305.478
3762.4 21.6721 -380.755
3765.31 10.867 -205.867
3768.23 -17.9883 238.66
3771.15 29.9431 476.513
3774.07 10.5199 536.702
3776.99 22.2296 555.455
3779.91 6.38558 635.58
3782.82 3.17587 614.737
3785.74 -6.20977 702.356
3788.66 20.9704 682.075
3791.58 9.87813 476.797
3794.5 14.1221 302.486
3797.41 19.9815 249.253
3800.33 33.4702 321.174
3803.25 -4.25882 343.14
3806.17 30.8221 332.574
3809.09 6.11592 336.336
3812 22.4596 69.0023
3814.92 52.0744 -202.497
3817.84 20.7891 -346.792
3820.76 24.6377 -244.39
3823.68 7.65845 -177.816
3826.59 24.4871 -167.19
3829.51 11.8038 -332.338
3832.43 24.4712 -565.37
3835.35 17.566 -701.598
3838.27 -6.16179 -577.909
3841.18 14.824 -355.528
3844.1 -7.52026 -111.419
3847.02 -4.9504 79.1625
3849.94 17.723 110.912
3852.85 -2.6202 59.7803
3855.77 -2.16406 38.3465
3858.69 2.17612 99.8911
3861.61 5.52642 88.5676
3864.52 -2.37507 34.2082
3867.44 -3.1126 18.2241
3870.36 12.9373 5.625
3873.28 -12.2896 12.2222
3876.19 -17.4047 75.0842
3879.11 12.4621 104.183
3882.03 -3.45445 57.8119
3884.95 -12.7287 3.40458
3887.86 4.82617 74.9073
3890.78 -17.2582 251.919
3893.7 -7.30653 358.639
3896.62 -10.5111 348.06
3899.53 15.0717 196.212
3902.45 -7.85961 228.497
3905.37 8.73114 235.789
3908.29 -19.2792 366.631
3911.2 0.817851 368.218
3914.12 -13.7159 442.024
3917.04 -3.84634 425.641
3919.95 1.07964 281.625
3922.87 -3.13946 97.9216
3925.79 18.028 -163.348
3928.71 26.1651 -417.456
3931.62 -2.93476 -591.206
3934.54 3.70428 -707.318
3937.46 0.702702 -671.202
3940.37 13.5687 -678.962
3943.29 -10.975 -531.478
3946.21 15.6096 -334.863
3949.12 -6.7268 -214.566
3952.04 2.6633 -206.772
3954.96 21.7551 -246.157
3957.87 17.8387 -407.911
3960.79 6.27343 -766.613
3963.71 19.3431 -1054.04
3966.62 20.2048 -1156.25
3969.54 -2.23742 -1073.17
3972.46 30.1732 -836.476
3975.37 36.2567 -494.705
3978.29 23.1758 -219.731
3981.21 15.4917 -152.254
3984.12 31.2546 -143.197
3987.04 10.6474 -108.628
3989.96 12.146 -156.983
3992.87 29.6984 -234.489
3995.79 14.7151 -216.354
3998.7 25.2574 -362.77
4001.62 43.905 -587.735
4004.54 27.7581 -793.213
4007.45 21.2638 -849.833
4010.37 34.2318 -1043.23
4013.29 28.4077 -1154.59
4016.2 4.91354 -1112.37
4019.12 24.7258 -1119.87
4022.03 25.2995 -1082.29
4024.95 32.7381 -968.799
4027.87 14.8013 -888.483
4030.78 13.0969 -859.587
4033.7 43.4965 -761.318
4036.61 28.19 -674.513
4039.53 4.70043 -657.555
4042.44 40.872 -650.93
4045.36 28.702 -629.359
4048.28 13.6845 -652.441
4051.19 11.9424 -650.528
4054.11 9.4775 -627.775
4057.02 57.0526 -648.17
4059.94 9.02132 -676.927
4062.85 10.0825 -680.355
4065.77 14.7547 -641.684
4068.69 45.8694 -515.386
4071.6 27.8186 -432.632
4074.52 26.596 -403.905
4077.43 39.164 -357.827
4080.35 10.2875 -238.096
4083.26 32.7032 -220.26
4086.18 3.71205 -178.322
4089.09 -4.83908 -150.806
4092.01 -8.20635 -223.042
4094.92 30.0157 -310.604
4097.84 13.7535 -342.515
4100.75 14.1222 -297.341
4103.67 5.31547 -319.76
4106.58 18.1367 -243.564
4109.5 16.422 -148.398
4112.41 22.6085 -122.348
4115.33 9.37793 -89.9811
4118.24 18.0582 -48.9219
4121.16 23.3825 -80.1115
4124.07 38.6781 -113.295
4126.99 49.293 -91.4068
4129.9 40.4725 -46.0231
4132.82 12.3001 11.971
4135.73 37.0705 130.55
4138.65 33.4161 190.669
4141.56 18.4287 227.098
4144.48 56.3526 336.832
4147.39 20.9847 408.329
4150.3 45.7489 456.087
4153.22 21.526 434.627
4156.13 13.23 515.67
4159.05 17.773 489.165
4161.96 27.9522 494.564
4164.88 45.123 401.226
4167.79 46.2249 447.939
4170.7 23.2621 324.073
4173.62 27.5896 272.103
4176.53 24.9435 99.0749
4179.45 17.815 -42.0609
4182.36 28.8322 -183.32
4185.27 12.4725 -313.73
4188.19 29.1738 -463.81
4191.1 36.7237 -529.594
4194.02 31.7509 -724.995
4196.93 27.375 -937.305
4199.84 12.8182 -1082.82
4202.76 36.1903 -1016.17
4205.67 37.0768 -855.883
4208.58 28.9551 -641.38
4211.5 47.2453 -388.791
4214.41 25.2148 -6.61486
4217.33 22.4069 353.844
4220.24 31.8802 719.299
4223.15 23.5511 1033.56
4226.07 25.1387 1276.86
4228.98 27.2352 1465.21
4231.89 46.3538 1437.02
4234.81 40.3608 1281.53
4237.72 37.6598 1043.99
4240.63 15.2241 889.176
4243.54 37.7204 677.671
4246.46 22.4288 379.581
4249.37 11.1512 109.528
4252.28 17.0018 -66.4017
4255.2 25.9483 -107.609
4258.11 12.5358 -104.499
4261.02 19.8096 -71.6791
4263.94 35.4056 -114.429
4266.85 24.543 -111.621
4269.76 33.6565 -102.754
4272.67 12.2385 -66.3842
4275.59 37.2345 0.0311293
4278.5 18.2886 10.028
4281.41 28.7022 -4.14127
4284.32 22.7205 -114.191
4287.24 17.7364 -115.856
4290.15 6.80732 -166.966
4293.06 30.6892 -230.998
4295.97 17.892 -359.37
4298.89 6.02161 -479.927
4301.8 14.3816 -530.258
4304.71 12.7492 -606.84
4307.62 4.57586 -658.885
4310.53 10.5788 -557.074
4313.45 22.6898 -461.798
4316.36 13.5507 -312.833
4319.27 35.7423 -159.129
4322.18 5.46844 -158.029
4325.09 16.4069 -55.5415
4328.01 32.4241 140.566
4330.92 20.122 190.739
4333.83 4.44445 159.789
4336.74 7.84273 67.8311
4339.65 17.5301 16.0085
4342.56 2.55657 -4.00978
4345.48 3.47195 -8.21709
4348.39 14.9727 -1.56206
4351.3 19.8762 -95.8547
4354.21 18.8665 -160.12
4357.12 10.0297 -205.515
4360.03 35.3039 -220.435
4362.94 23.3933 -372.03
4365.85 35.8266 -576.561
4368.77 27.8435 -779.884
4371.68 7.25451 -950.892
4374.59 36.0909 -1086.01
4377.5 25.1039 -1064.9
4380.41 41.0992 -1187.79
4383.32 24.5305 -1214.65
4386.23 40.2483 -1174.22
4389.14 13.9085 -1011.83
4392.05 44.5383 -935.728
4394.96 27.1397 -913.804
4397.87 11.6322 -887.391
4400.79 46.714 -849.23
4403.7 20.5061 -829.335
4406.61 41.9377 -728.213
4409.52 29.319 -591.368
4412.43 54.1085 -502.667
4415.34 16.963 -471.607
4418.25 34.3817 -498.942
4421.16 25.3731 -528.564
4424.07 26.9839 -677.393
4426.98 30.132 -708.592
4429.89 32.6831 -748.475
4432.8 53.3269 -699.579
4435.71 53.4107 -753.858
4438.62 38.4704 -725.516
4441.53 44.8267 -742.905
4444.44 9.92533 -683.926
4447.35 41.1475 -698.257
4450.26 46.1244 -633.431
4453.17 41.2656 -531.359
4456.08 30.4353 -444.45
4458.99 34.8395 -336.856
4461.89 41.8762 -167.989
4464.8 49.8423 -224.735
4467.71 21.9679 -441.058
4470.62 26.4392 -457.978
4473.53 38.3187 -582.131
4476.44 37.4344 -718.295
4479.35 30.9751 -722.833
4482.26 24.8569 -691.597
4485.17 47.3296 -544.296
4488.08 32.2898 -247.672
4490.99 47.3575 -77.4149
4493.9 35.4945 63.9087
4496.8 35.3598 172.438
4499.71 52.1597 212.188
4502.62 30.2081 293.942
4505.53 24.5752 247.435
4508.44 33.5867 115.411
4511.35 28.8431 -11.9083
4514.26 36.6755 -106.408
4517.16 22.0774 -302.222
4520.07 36.456 -334.715
4522.98 28.8661 -447.372
4525.89 21.2816 -609.311
4528.8 41.4575 -574.72
4531.7 32.3997 -657
4534.61 1.80236 -589.481
4537.52 14.5524 -456.582
4540.43 38.9054 -298.243
4543.34 25.8984 -142.6
4546.24 28.578 21.916
4549.15 25.5706 52.4177
4552.06 42.2934 55.6415
4554.97 22.8636 72.4225
4557.88 0.725799 -22.192
4560.78 28.017 -36.1092
4563.69 18.5424 -196.475
4566.6 31.1836 -208.399
4569.5 26.6229 -155.112
4572.41 31.394 -149.133
4575.32 29.33 -79.6547
4578.23 16.3139 -84.2959
4581.13 32.8623 45.7149
4584.04 34.8728 108.978
4586.95 32.1111 61.3481
4589.85 34.0867 -41.7239
4592.76 61.8621 -58.2082
4595.67 42.0331 -71.7042
4598.58 26.7742 -135.499
4601.48 42.005 39.4549
4604.39 20.2285 167.789
4607.29 34.6292 187.005
4610.2 24.9018 346.075
4613.11 45.5202 372.605
4616.01 22.0938 219.249
4618.92 43.5194 -38.0418
4621.83 36.2459 -198.728
4624.73 38.882 -132.494
4627.64 33.749 -219.949
4630.55 59.4378 -371.432
4633.45 38.9835 -377.528
4636.36 40.7915 -407.194
4639.26 43.7401 -457.42
4642.17 41.2338 -557.89
4645.07 41.8499 -640.021
4647.98 29.8621 -742.489
4650.89 33.8799 -929.792
4653.79 52.6973 -1200.68
4656.7 37.1346 -1344.74
4659.6 38.4916 -1139.1
4662.51 57.3442 -838.099
4665.41 64.8808 -604.716
4668.32 51.1396 -521.639
4671.22 46.943 -595.445
4674.13 30.7936 -606.138
4677.03 41.9478 -450.33
4679.94 30.4898 -177.608
4682.84 47.2805 95.0873
4685.75 42.6134 187.967
4688.65 32.5978 251.391
4691.56 36.397 26.6055
4694.46 52.2947 -308.907
4697.37 28.7259 -430.472
4700.27 40.4079 -330.674
4703.18 45.8158 -114.567
4706.08 41.0905 122.603
4708.98 22.1564 215.809
4711.89 33.1102 392.036
4714.79 38.8122 641.832
4717.7 51.8184 678.896
4720.6 48.0589 357.136
4723.51 30.8787 225.561
4726.41 24.1191 161.393
4729.31 48.2642 -82.1178
4732.22 44.8329 -119.455
4735.12 29.5248 80.4624
4738.02 41.7909 145.665
4740.93 36.1801 198.156
4743.83 38.7212 235.731
4746.73 45.2762 381.639
4749.64 27.8184 714.678
4752.54 52.0262 639.965
4755.44 28.071 329.099
4758.35 47.7467 225.239
4761.25 38.166 198.061
4764.15 36.4377 246.318
4767.06 27.6779 437.627
4769.96 25.9867 624.022
4772.86 28.7034 580.707
4775.77 31.8195 298.636
4778.67 10.9195 -57.2083
4781.57 30.9591 -244.705
4784.47 36.7664 -433.165
4787.38 17.9469 -603.214
4790.28 22.6074 -337.636
4793.18 26.7979 58.3206
4796.08 22.9319 302.134
4798.98 19.8814 359.42
4801.89 4.0287 288.922
4804.79 36.4402 93.8124
4807.69 18.6919 100.917
4810.59 22.6352 360.396
4813.49 10.4669 524.413
4816.4 3.59125 558.4
4819.3 8.18959 714.808
4822.2 22.0992 96.5451
4825.1 19.8808 -247.264
4828 0.667571 -415.976
4830.9 14.2239 -378.304
4833.81 19.19 -557.244
4836.71 1.25662 -220.546
4839.61 1.36947 38.799
4842.51 18.4478 340.346
4845.41 0.906073 568.184
4848.31 9.71133 294.672
4851.21 14.6135 474.931
4854.11 18.7503 232.597
4857.01 6.10237 297.699
4859.91 24.3849 165.723
4862.82 17.4474 327.824
4865.72 22.3968 -4.27629
4868.62 19.4499 86.6455
4871.52 41.2028 245.175
4874.42 21.9482 493.794
4877.32 31.0589 318.742
4880.22 45.1739 -44.9688
4883.12 37.4798 -262.003
4886.02 34.0269 143.49
4888.92 46.0172 163.481
4891.82 45.1597 -148.114
4894.72 52.0538 -259.655
4897.62 43.8453 -296.463
4900.52 55.6702 -266.363
4903.42 49.4588 -188.264
4906.32 42.7151 -540.961
4909.21 61.4996 -79.3973
4912.11 53.6905 456.817
4915.01 63.9032 78.1623
4917.91 50.569 -468.165
4920.81 54.1611 -273.625
4923.71 53.8111 247.524
4926.61 51.4619 107.86
4929.51 60.5944 -471.464
4932.41 43.417 -421.838
4935.31 52.149 -23.7243
4938.2 70.769 344.119
4941.1 54.1645 127.38
4944 55.7511 289.875
4946.9 51.0744 155.157
4949.8 40.5258 653.154
4952.7 62.7788 1121.56
4955.59 62.3064 1091.11
4958.49 56.0195 350.555
4961.39 51.6483 368.007
4964.29 44.8085 176.931
4967.19 48.094 453.905
4970.08 52.175 137.193
4972.98 60.1096 280.342
4975.88 52.9253 455.049
4978.78 47.621 -69.1259
4981.67 51.0403 230.802
4984.57 57.1448 -1305.11
4987.47 55.1661 -717.5
4990.37 56.594 92.9519
4993.26 45.6814 262.092
4996.16 41.5932 695.892
4999.06 36.1169 165.549
5001.95 46.8078 -187.736
5004.85 26.1263 -162.823
5007.75 41.754 450.785
5010.64 37.8974 855.588
5013.54 55.1173 227.183
5016.44 43.9003 360.186
5019.33 27.3947 372.026
5022.23 47.6801 222.956
5025.13 27.1173 -754.123
5028.02 41.6268 -450.674
5030.92 39.006 -870.697
5033.81 34.5914 -488.355
5036.71 36.2401 -869.748
5039.61 46.3026 419.615
5042.5 39.5963 1427.08
5045.4 41.9953 166.834
5048.29 32.0368 293.601
5051.19 43.4679 227.178
5054.08 25.5379 -639
5056.98 45.6498 -831.387
5059.87 42.8139 -893.005
5062.77 47.6111 -848.362
5065.67 42.9281 -1120
5068.56 33.4632 160.339
5071.46 49.6032 -87.4207
5074.35 33.8167 471.387
5077.24 30.488 2107.45
5080.14 47.589 187.424
5083.03 50.1308 341.611
5085.93 53.5059 51.4603
5088.82 39.5186 -1208.59
5091.72 30.5555 -579.561
5094.61 30.9364 -308.698
5097.51 44.2894 623.639
5100.4 52.0209 919.344
5103.29 45.6986 133.791
5106.19 47.1989 760.592
5109.08 54.0487 352.724
5111.97 36.0022 1464.1
5114.87 28.9104 290.767
5117.76 46.797 986.393
5120.66 32.2662 240.484
5123.55 40.7025 -172.863
5126.44 41.3802 802.685
5129.34 34.683 -329.234
5132.23 44.1555 1404.06
5135.12 42.2669 1285.64
5138.01 43.2428 1750.58
5140.91 46.1596 366.493
5143.8 35.7438 505.999
5146.69 41.4183 938.268
5149.59 34.4274 523.302
5152.48 29.3485 669.022
5155.37 32.4429 116.677
5158.26 51.6387 1303.12
5161.15 17.1024 1305.74
5164.05 26.4834 805.78
5166.94 17.8113 694.767
5169.83 32.6148 813.849
5172.72 21.1304 1164.38
5175.61 37.7338 418.168
5178.51 20.2418 992.907
5181.4 31.1086 790.879
5184.29 26.1174 778.238
5187.18 21.6089 -176.071
5190.07 38.8275 266.822
5192.96 31.8292 179.572
5195.85 22.4206 419.902
5198.75 42.2286 -122.773
5201.64 37.9944 472.091
5204.53 24.8747 62.0848
5207.42 36.2931 68.3866
5210.31 42.0952 -76.1261
5213.2 40.9461 -117.764
5216.09 31.4588 66.9978
5218.98 37.2036 -366.93
5221.87 37.2496 1826.43
5224.76 31.9064 429.823
5227.65 39.7885 977.624
5230.54 36.9769 119.543
5233.43 52.624 804.745
5236.32 39.5545 -145.975
