4194.98 906.5
4196.37 1190.5
4197.76 1532.5
4199.15 1774.5
4200.54 1698.5
4201.93 1400
4203.32 1110.5
4204.71 894
4206.1 815
4207.49 772
4208.89 736
4210.28 721
4211.67 711.5
4213.06 711
4214.45 713.5
4215.84 721.5
4217.23 732.5
4218.62 735
4220.01 736
4221.41 744.5
4222.8 741
4224.19 755
4225.58 787
4226.97 809.5
4228.36 803.5
4229.75 784
4231.14 759.5
4232.54 747
4233.93 749.5
4235.32 780
4236.71 790
4238.1 780
4239.49 759
4240.89 749.5
4242.28 738
4243.67 729
4245.06 727.5
4246.45 729.5
4247.84 732
4249.23 748.5
4250.63 759
4252.02 755
4253.41 749.5
4254.8 761
4256.19 907
4257.58 1150
4258.98 1249
4260.37 1175
4261.76 1049
4263.15 1017.5
4264.54 1072
4265.94 1062.5
4267.33 983
4268.72 977.5
4270.11 1076.5
4271.5 1134.5
4272.9 1092.5
4274.29 1144.5
4275.68 1364.5
4277.07 1406.5
4278.46 1292.5
4279.86 1125
4281.25 997
4282.64 905
4284.03 839.5
4285.42 787.5
4286.82 752.5
4288.21 730.5
4289.6 723
4290.99 722.5
4292.38 722.5
4293.78 721
4295.17 730.5
4296.56 778
4297.95 899.5
4299.35 977
4300.74 943.5
4302.13 887.5
4303.52 836
4304.92 805
4306.31 799.5
4307.7 793
4309.09 780
4310.49 761
4311.88 746
4313.27 742
4314.66 734
4316.05 730
4317.45 728.5
4318.84 726
4320.23 726.5
4321.62 736
4323.02 749.5
4324.41 791.5
4325.8 860
4327.2 885.5
4328.59 900.5
4329.98 975
4331.37 1097
4332.77 1181.5
4334.16 1140.5
4335.55 1076.5
4336.94 983
4338.34 910
4339.73 856
4341.12 817.5
4342.51 830
4343.91 868.5
4345.3 1006
4346.69 1129.5
4348.09 1139
4349.48 1037.5
4350.87 969.5
4352.26 912.5
4353.66 860.5
4355.05 815
4356.44 781
4357.84 768
4359.23 788
4360.62 818
4362.01 817.5
4363.41 783
4364.8 790.5
4366.19 817
4367.59 884
4368.98 977
4370.37 1016
4371.76 969.5
4373.16 944.5
4374.55 937.5
4375.94 931.5
4377.34 950.5
4378.73 960.5
4380.12 914
4381.52 874.5
4382.91 860.5
4384.3 846.5
4385.7 822
4387.09 786.5
4388.48 758
4389.87 746.5
4391.27 737
4392.66 733.5
4394.05 723.5
4395.45 729.5
4396.84 755.5
4398.23 820.5
4399.63 876
4401.02 864
4402.41 837.5
4403.81 807.5
4405.2 786.5
4406.59 772
4407.99 757
4409.38 745
4410.77 734
4412.17 726.5
4413.56 725
4414.95 726
4416.35 721
4417.74 726
4419.13 732.5
4420.53 738.5
4421.92 773.5
4423.31 905.5
4424.71 1018
4426.1 1023
4427.49 1028.5
4428.89 1043.5
4430.28 1013.5
4431.67 982
4433.07 927
4434.46 872
4435.85 845.5
4437.25 830.5
4438.64 821
4440.03 793.5
4441.43 776.5
4442.82 756
4444.21 746
4445.61 762.5
4447 795.5
4448.39 794.5
4449.79 781
4451.18 767.5
4452.57 754.5
4453.97 748.5
4455.36 743
4456.75 743
4458.15 744
4459.54 741
4460.93 738.5
4462.33 733
4463.72 733
4465.11 726
4466.51 729.5
4467.9 729
4469.29 728
4470.69 742.5
4472.08 804
4473.47 855
4474.87 849
4476.26 817.5
4477.65 827.5
4479.05 909.5
4480.44 986.5
4481.84 970.5
4483.23 913.5
4484.62 858.5
4486.02 821
4487.41 803.5
4488.8 791
4490.2 775.5
4491.59 760
4492.98 748.5
4494.38 740
4495.77 739
4497.16 739.5
4498.56 740.5
4499.95 744
4501.34 746
4502.74 750.5
4504.13 742
4505.53 747.5
4506.92 817
4508.31 984
4509.71 1076
4511.1 1037
4512.49 957
4513.89 896
4515.28 853
4516.67 821.5
